バス停名,lng,lat,1便,2便,3便,4便,5便,6便,7便,8便,9便,10便
米沢駅前,37.90946156,140.1280283,6:45,8:07,9:40,11:00,12:20,13:40,15:00,16:15,18:00,19:35
米沢営業所,37.91028394,140.123623,6:46,8:08,9:41,11:01,12:21,13:41,15:01,16:16,18:01,19:36
駅前四丁目,37.91087012,140.1203301,6:47,8:09,9:42,11:02,12:22,13:42,15:02,16:17,18:02,19:37
住之江橋,37.91134049,140.1159562,6:48,8:10,9:43,11:03,12:23,13:43,15:03,16:18,18:03,19:38
大町,37.91173835,140.1135614,6:49,8:11,9:44,11:04,12:24,13:44,15:04,16:19,18:04,19:39
ナセＢＡ前,37.91244625,140.1103522,6:50,8:12,9:45,11:05,12:25,13:45,15:05,16:20,18:05,19:40
皇大神社前,37.91488315,140.1096737,6:51,8:13,9:46,11:06,12:26,13:46,15:06,16:21,18:06,19:41
中央一丁目,37.91512647,140.1107475,6:52,8:15,9:47,11:07,12:27,13:47,15:07,16:22,18:08,19:42
金池一丁目,37.91600553,140.1138509,6:53,8:16,9:48,11:08,12:28,13:48,15:08,16:23,18:09,19:43
北村公園西,37.91968579,140.116524,6:54,8:17,9:49,11:09,12:29,13:49,15:09,16:24,18:10,19:44
文化センター南,37.91902587,140.1173063,6:55,8:19,9:50,11:10,12:30,13:50,15:10,16:25,18:12,19:45
米沢市役所前,37.9214006,140.1162957,6:57,8:21,9:52,11:12,12:32,13:52,15:12,16:27,18:14,19:47
年金事務所西,37.92202795,140.1125962,6:58,8:22,9:53,11:13,12:33,13:53,15:13,16:28,18:15,19:48
イオン米沢前,37.92284639,140.1077909,6:59,8:23,9:54,11:14,12:34,13:54,15:14,16:29,18:16,19:49
総合公園口,37.9233595,140.1027519,7:00,8:25,9:55,11:15,12:35,13:55,15:15,16:30,18:18,19:50
信夫町,37.92240559,140.1004624,7:01,8:26,9:56,11:16,12:36,13:56,15:16,16:31,18:19,19:51
三友堂病院前,37.91948441,140.1050967,7:02,8:27,9:57,11:17,12:37,13:57,15:17,16:32,18:21,19:52
中央四丁目,37.91900189,140.1082595,7:03,8:28,9:58,11:18,12:38,13:58,15:18,16:33,18:22,19:53
中央三丁目,37.91779246,140.1104647,7:04,8:29,9:59,11:19,12:39,13:59,15:19,16:34,18:23,19:54
中央二丁目,37.91523767,140.1093376,7:05,8:30,10:00,11:20,12:40,14:00,15:20,16:35,18:24,19:55
NTT前,37.9153602,140.1072143,7:06,8:32,10:01,11:21,12:41,14:01,15:21,16:36,18:26,19:56
法泉寺西,37.91573055,140.1013748,7:07,8:33,10:02,11:22,12:42,14:02,15:22,16:37,18:27,19:57
すこやかセンター,37.91715444,140.0997805,7:09,8:36,10:04,11:24,12:44,14:04,15:24,16:39,18:30,19:59
城西郵便局前,37.91611976,140.095444,7:10,8:37,10:05,11:25,12:45,14:05,15:25,16:40,18:31,20:00
西部ｺﾐｭﾆﾃｨｾﾝﾀｰ前,37.91554509,140.090242,7:11,8:38,10:06,11:26,12:46,14:06,15:26,16:41,18:32,20:01
御廟所西口,37.91276339,140.0905515,7:13,8:40,10:08,11:28,12:48,14:08,15:28,16:43,18:34,20:03
西部こども園前,37.90846978,140.0932682,7:14,8:41,10:09,11:29,12:49,14:09,15:29,16:44,18:35,20:04
愛宕小前,37.90450387,140.0957418,7:15,8:42,10:10,11:30,12:50,14:10,15:30,16:45,18:36,20:05
二中前,37.90250541,140.0996347,7:16,8:43,10:11,11:31,12:51,14:11,15:31,16:46,18:38,20:06
山大正門,37.90147945,140.1056086,7:17,8:44,10:12,11:32,12:52,14:12,15:32,16:47,18:39,20:07
城南二丁目,37.90306078,140.107183,7:18,8:45,10:13,11:33,12:53,14:13,15:33,16:48,18:40,20:08
城南一丁目,37.90544996,140.1075299,7:19,8:46,10:14,11:34,12:54,14:14,15:34,16:49,18:41,20:09
上杉神社前,37.90831435736321, 140.1085935983473,7:20,8:47,10:15,11:35,12:55,14:15,15:35,16:50,18:42,20:10
税務署前,37.90707217,140.1115388,7:21,8:48,10:16,11:36,12:56,14:16,15:36,16:51,18:43,20:11
大町一丁目,37.90426022,140.1116261,7:22,8:49,10:17,11:37,12:57,14:17,15:37,16:52,18:44,20:12
福田町西,37.90274281,140.1146073,7:24,8:51,10:19,11:39,12:59,14:19,15:39,16:54,18:46,20:14
市立病院前,37.90377808,140.1190931,7:25,8:52,10:20,11:40,13:00,14:20,15:40,16:55,18:47,20:15
福田町一丁目,37.90110977,140.1205454,7:27,8:54,10:22,11:42,13:02,14:22,15:42,16:57,18:49,20:17
福田町二丁目,37.90193699,140.1178891,7:28,8:55,10:23,11:43,13:03,14:23,15:43,16:58,18:50,20:18
県営相生ｱﾊﾟｰﾄ東,37.90506642,140.1167973,7:30,8:57,10:25,11:45,13:05,14:25,15:45,17:00,18:52,20:20
相生橋西,37.90808302,140.1174991,7:31,8:58,10:26,11:46,13:06,14:26,15:46,17:01,18:53,20:21
舟山病院前,37.9091791,140.1225061,7:33,9:00,10:28,11:48,13:08,14:28,15:48,17:03,18:55,20:23
駅前二丁目,37.90928385,140.1242965,7:34,9:01,10:29,11:49,13:09,14:29,15:49,17:04,18:56,20:24
米沢駅前,37.90946156,140.1280283,7:35,9:02,10:30,11:50,13:10,14:30,15:50,17:05,18:57,20:25
